imageName,groundTruth,amazonLabels,amazonScores,azureLabels,azureScores,clarifaiLabels,clarifaiScores,googleLabels,googleScores,watsonLabels,watsonScores,category
office20,office,"['Furniture', 'Table', 'Desk', 'Indoors', 'Office']","[99.7655258178711, 98.78142547607422, 98.78142547607422, 95.98572540283203, 94.87767791748047]","['floor', 'indoor', 'table', 'wall', 'text']","[0.9985260963439941, 0.9967994093894958, 0.9927423000335693, 0.9918445348739624, 0.9278160333633423]","['furniture', 'room', 'indoors', 'contemporary', 'chair']","[0.9977293014526367, 0.9962937831878662, 0.9943770170211792, 0.9901564121246338, 0.9889699816703796]","['Furniture', 'Room', 'Desk', 'Interior design', 'Computer desk']","[0.96870685, 0.9507724, 0.94238263, 0.90874064, 0.9076665]","['office', 'building', 'study', 'indoors', 'office furniture']","[0.786, 0.786, 0.537, 0.551, 0.5]",office
o7,office,"['Chair', 'Furniture', 'Table', 'Desk', 'Indoors']","[98.06424713134766, 98.06424713134766, 96.86820983886719, 92.9018325805664, 88.61338806152344]","['table', 'indoor', 'whiteboard', 'desk', 'chair']","[0.9433502554893494, 0.9063155651092529, 0.8376920819282532, 0.8043179512023926, 0.7468069195747375]","['table', 'room', 'furniture', 'interior design', 'chair']","[0.9908556938171387, 0.9898643493652344, 0.9892292618751526, 0.9865813255310059, 0.9825001955032349]","['Room', 'Interior design', 'Wall', 'Furniture', 'Table']","[0.92263156, 0.86907727, 0.8526553, 0.77741414, 0.7170584]","['Art Studio', 'indoors', 'classroom', 'building', 'sage green color']","[0.85, 0.923, 0.5, 0.796, 0.65]",office
n457029,office,"['Indoors', 'Office', 'Chair', 'Furniture', 'Pc']","[99.94474792480469, 99.94474792480469, 94.57521057128906, 94.57521057128906, 67.33930969238281]","['floor', 'indoor', 'desk', 'computer', 'furniture']","[0.9921749830245972, 0.9896654486656189, 0.969536542892456, 0.9642292261123657, 0.9498158693313599]","['furniture', 'desk', 'room', 'table', 'chair']","[0.9981893301010132, 0.9969762563705444, 0.9969024658203125, 0.9964507818222046, 0.9939141273498535]","['Office', 'Furniture', 'Office chair', 'Floor', 'Building']","[0.950305, 0.92856175, 0.8723532, 0.85969514, 0.85219187]","['office furniture', 'furniture', 'office', 'building', 'booth']","[0.857, 0.857, 0.823, 0.823, 0.5]",office
indoor_0148,office,"['Furniture', 'Table', 'Desk', 'Electronics', 'Computer']","[99.83853149414062, 99.61471557617188, 98.54147338867188, 98.51455688476562, 98.51455688476562]","['floor', 'indoor', 'wall', 'desk', 'computer']","[0.9999008774757385, 0.9984604120254517, 0.9903908967971802, 0.9786719679832458, 0.9615296721458435]","['table', 'desk', 'room', 'furniture', 'chair']","[0.9974750280380249, 0.9935622215270996, 0.992403507232666, 0.9911390542984009, 0.9879717826843262]","['Furniture', 'Computer desk', 'Desk', 'Room', 'Property']","[0.97774184, 0.9613027, 0.96051234, 0.9246733, 0.9239428]","['writing desk', 'table', 'furniture', 'dining table', 'dining-room table']","[0.701, 0.876, 0.941, 0.679, 0.519]",office
office9,office,"['Indoors', 'Office', 'Furniture', 'Table', 'Desk']","[99.55513763427734, 98.89568328857422, 97.82410430908203, 96.55056762695312, 96.55056762695312]","['floor', 'indoor', 'computer', 'wall', 'office building']","[0.9994077682495117, 0.9974797964096069, 0.9864211082458496, 0.9849217534065247, 0.9799569845199585]","['desk', 'room', 'table', 'furniture', 'chair']","[0.9989815950393677, 0.9976990222930908, 0.9974193572998047, 0.9971702098846436, 0.9939990043640137]","['Furniture', 'Office chair', 'Desk', 'Computer desk', 'Office']","[0.9804185, 0.9777614, 0.9750442, 0.95964134, 0.950305]","['office furniture', 'furniture', 'office', 'building', 'workstation']","[0.888, 0.888, 0.556, 0.556, 0.5]",office
bar_0512,bar,"['Human', 'Person', 'Club', 'Night Club', 'Party']","[99.90463256835938, 99.90463256835938, 98.61490631103516, 98.34180450439453, 93.1768798828125]","['person', 'indoor', 'clothing', 'candle', 'man']","[0.99323570728302, 0.948721170425415, 0.9254266023635864, 0.8822897672653198, 0.8761917352676392]","['nightlife', 'celebration', 'party', 'nightclub', 'festival']","[0.9910756349563599, 0.9893684387207031, 0.9890702962875366, 0.9859209060668945, 0.9787166118621826]","['Event', 'Fun', 'Nightclub', 'Party', 'Pub']","[0.8736486, 0.7039424, 0.62518483, 0.61949855, 0.5876396]","['person', 'sushi bar', 'bar', 'table', 'furniture']","[0.798, 0.877, 0.931, 0.931, 0.931]",bar
bar_0100,bar,"['Chair', 'Furniture', 'Person', 'Human', 'Pub']","[99.77639770507812, 99.77639770507812, 99.57194519042969, 99.57194519042969, 94.12379455566406]","['furniture', 'indoor', 'floor', 'wall', 'restaurant']","[0.9933476448059082, 0.9731707572937012, 0.9634441137313843, 0.9626258611679077, 0.9157010316848755]","['table', 'furniture', 'restaurant', 'chair', 'bar']","[0.99347323179245, 0.9889869689941406, 0.9887118339538574, 0.9876598119735718, 0.9869505763053894]","['Restaurant', 'Property', 'Room', 'Building', 'Table']","[0.9032252, 0.8968226, 0.87004447, 0.8392763, 0.819117]","['cafe', 'restaurant', 'building', 'bar', 'brasserie']","[0.868, 0.95, 0.95, 0.569, 0.5]",bar
bar_0477,bar,"['Person', 'Human', 'Pub', 'Bar Counter', 'Monitor']","[99.90459442138672, 99.90459442138672, 99.84078979492188, 99.83027648925781, 97.9549560546875]","['bottle', 'person', 'drink', 'bar', 'beer']","[0.9914398193359375, 0.9897075891494751, 0.9821344614028931, 0.9691873788833618, 0.9279001951217651]","['people', 'bar', 'group', 'adult', 'restaurant']","[0.9984985589981079, 0.9963169097900391, 0.9901962280273438, 0.985066294670105, 0.9802958369255066]","['Pub', 'Bar', 'Alcohol', 'Tavern', 'Liqueur']","[0.92568177, 0.9201776, 0.89684296, 0.8751774, 0.829534]","['bar', 'Pubbing', 'people', 'alehouse (tavern)', 'tavern']","[0.862, 0.724, 0.725, 0.5, 0.5]",bar
bar_0321,bar,"['Furniture', 'Table', 'Reception', 'Pub', 'Bar Counter']","[99.99336242675781, 98.06529998779297, 95.32736206054688, 92.19216918945312, 91.94630432128906]","['furniture', 'text', 'table', 'restaurant', 'chair']","[0.9814257025718689, 0.9691866636276245, 0.9295289516448975, 0.855810284614563, 0.7543355226516724]","['furniture', 'table', 'indoors', 'chair', 'room']","[0.9864537119865417, 0.9832272529602051, 0.9827315807342529, 0.9820342659950256, 0.9752365350723267]","['Room', 'Interior design', 'Architecture', 'Ceiling', 'Space']","[0.84255326, 0.8363195, 0.7263346, 0.7058745, 0.69254154]","['bar', 'cocktail lounge', 'indoors', 'building', 'reddish brown color']","[0.746, 0.5, 0.5, 0.594, 0.961]",bar
bar_0518,bar,"['Chair', 'Furniture', 'Wine', 'Alcohol', 'Drink']","[99.28048706054688, 99.28048706054688, 97.6958999633789, 97.6958999633789, 97.6958999633789]","['floor', 'furniture', 'bottle', 'kitchen & dining room table', 'chair']","[0.9923095107078552, 0.9837318658828735, 0.9725952744483948, 0.9343658685684204, 0.9316378831863403]","['bar', 'furniture', 'table', 'restaurant', 'seat']","[0.9969344735145569, 0.9968281984329224, 0.9960935115814209, 0.9946784973144531, 0.9886215329170227]","['Furniture', 'Bar', 'Kitchen & dining room table', 'Restaurant', 'Pub']","[0.90716994, 0.883029, 0.8824048, 0.8784759, 0.87513703]","['bar', 'table', 'furniture', 'alehouse (tavern)', 'tavern']","[0.934, 0.934, 0.934, 0.6, 0.6]",bar
