imageName,groundTruth,amazonLabels,amazonScores,azureLabels,azureScores,clarifaiLabels,clarifaiScores,googleLabels,googleScores,watsonLabels,watsonScores,category
Places365_val_00033332,golf_course,"['Human', 'Person', 'Sport', 'Sports', 'Golf']","[99.81900024414062, 99.81900024414062, 98.79143524169922, 98.79143524169922, 89.34984588623047]","['grass', 'sky', 'outdoor', 'text', 'sports equipment']","[0.9999999403953552, 0.9932712316513062, 0.9846493005752563, 0.9183347225189209, 0.8972445726394653]","['golf', 'recreation', 'sport', 'man', 'golfer']","[0.9990159273147583, 0.99577397108078, 0.9871851205825806, 0.9857439994812012, 0.9855086803436279]","['Grass', 'Lawn', 'Recreation', 'Golf', 'Sport venue']","[0.82184535, 0.7718984, 0.70152813, 0.6752498, 0.6630055]","['golf', 'athletic game', 'sport', 'golf caddie', 'person']","[0.871, 0.872, 0.875, 0.628, 0.628]",golf_course
Places365_val_00031906,golf_course,"['Sport', 'Sports', 'Golf', 'Golf Club', 'Putter']","[98.41526794433594, 98.41526794433594, 96.33209228515625, 75.2087173461914, 66.68902587890625]","['outdoor', 'sky', 'grass', 'tree', 'golf']","[0.9988921880722046, 0.9987239837646484, 0.9961882829666138, 0.9959218502044678, 0.9800592660903931]","['landscape', 'golf', 'outdoors', 'no person', 'tree']","[0.9959434270858765, 0.9910449385643005, 0.9881933927536011, 0.9863969087600708, 0.9858454465866089]","['Natural landscape', 'Sport venue', 'Nature reserve', 'Grassland', 'Grass']","[0.9801581, 0.95546335, 0.8341527, 0.81322813, 0.798715]","['sand trap', 'golf', 'athletic game', 'sport', 'hazard']","[0.896, 0.732, 0.732, 0.732, 0.5]",golf_course
Places365_val_00008512,golf_course,"['Grass', 'Plant', 'Lawn']","[99.99938201904297, 99.99938201904297, 99.22554779052734]","['grass', 'outdoor', 'tree', 'field', 'golf']","[0.9999984502792358, 0.9986673593521118, 0.9899070262908936, 0.9161555171012878, 0.7456481456756592]","['lawn', 'grass', 'yard', 'turf', 'field']","[0.9980422258377075, 0.9973530769348145, 0.9722116589546204, 0.9715449213981628, 0.9646530151367188]","['Lawn', 'Grass', 'Green', 'Artificial turf', 'Leaf']","[0.9855782, 0.97615284, 0.9285578, 0.8568874, 0.83423764]","['zoysia', 'grass', 'herb', 'plant', 'Korean lawn grass']","[0.849, 0.949, 0.949, 0.949, 0.535]",golf_course
Places365_val_00005396,golf_course,"['Outdoors', 'Person', 'Human', 'Sport', 'Sports']","[96.10709381103516, 95.84801483154297, 95.84801483154297, 94.19738006591797, 94.19738006591797]","['nature', 'rainbow', 'cloud']","[0.9992620944976807, 0.6653127670288086, 0.23394331336021423]","['rainbow', 'outdoors', 'landscape', 'rain', 'weather']","[0.9958770871162415, 0.9755862951278687, 0.974165678024292, 0.9729539155960083, 0.9696632623672485]","['Rainbow', 'Sky', 'Atmospheric phenomenon', 'Grassland', 'Meteorological phenomenon']","[0.9902081, 0.9550931, 0.8569148, 0.8405985, 0.81936455]","['dust storm', 'nature', 'golf', 'athletic game', 'sport']","[0.703, 0.703, 0.562, 0.571, 0.571]",golf_course
Places365_val_00015109,golf_course,"['Person', 'Human', 'Sport', 'Sports', 'Golf']","[99.39163208007812, 99.39163208007812, 96.78446960449219, 96.78446960449219, 95.89945983886719]","['water', 'grass', 'golf', 'sky', 'nature']","[0.9992644786834717, 0.9974660873413086, 0.9878624677658081, 0.9837735295295715, 0.9410550594329834]","['golf', 'golfer', 'golf club', 'recreation', 'outdoors']","[0.9999498128890991, 0.9980852007865906, 0.9980823993682861, 0.9948635101318359, 0.992993950843811]","['Sport venue', 'Water resources', 'Water', 'Golf course', 'Golf club']","[0.9747597, 0.9396759, 0.9388793, 0.9238623, 0.8721581]","['hazard', 'water hazard', 'golf', 'athletic game', 'sport']","[0.92, 0.722, 0.5, 0.5, 0.5]",golf_course
Places365_val_00001214,coast,"['Outdoors', 'Water', 'Person', 'Human', 'Soil']","[99.90380096435547, 99.83696746826172, 99.6999740600586, 99.6999740600586, 99.66902923583984]","['outdoor', 'sky', 'water', 'beach', 'nature']","[0.9959684610366821, 0.9868779182434082, 0.9490171670913696, 0.8347924947738647, 0.8036798238754272]","['beach', 'sea', 'people', 'seashore', 'travel']","[0.9954580068588257, 0.9943119287490845, 0.9918781518936157, 0.9897198677062988, 0.9846682548522949]","['Coast', 'Shore', 'Surf fishing', 'Recreation', 'Angling']","[0.919247, 0.9143206, 0.7834355, 0.70152813, 0.69744086]","['surf casting (fishing)', 'casting (fishing)', 'fishing', 'outdoor sport', 'sport']","[0.959, 0.962, 0.962, 0.962, 0.962]",coast
Places365_val_00030213,coast,"['Water', 'Waterfront', 'Pier', 'Port', 'Dock']","[99.9192886352539, 99.6764144897461, 99.07744598388672, 99.07744598388672, 99.07744598388672]","['sky', 'water', 'beach', 'landscape', 'cloud']","[0.9850114583969116, 0.982536792755127, 0.9771907925605774, 0.9718606472015381, 0.9584445953369141]","['sunset', 'dawn', 'sun', 'no person', 'evening']","[0.9977802038192749, 0.9936342239379883, 0.9879733324050903, 0.9846975207328796, 0.9827625751495361]","['Sky', 'Horizon', 'Pier', 'Water', 'Natural landscape']","[0.97939974, 0.9377529, 0.9295367, 0.91002715, 0.8855189]","['Sunset', 'sundog (parhelion)', 'nature', 'shore', 'blue color']","[0.959, 0.5, 0.797, 0.788, 0.909]",coast
Places365_val_00036275,coast,"['Rock', 'Person', 'Human', 'Nature', 'Outdoors']","[99.78118896484375, 99.71622467041016, 99.71622467041016, 99.25210571289062, 99.15826416015625]","['outdoor', 'sky', 'dog', 'person', 'standing']","[0.9996169805526733, 0.992313027381897, 0.9805271625518799, 0.9149118065834045, 0.8659969568252563]","['people', 'dog', 'adult', 'two', 'man']","[0.9944974184036255, 0.9846448302268982, 0.9810696840286255, 0.9802676439285278, 0.977199912071228]","['Photograph', 'Dog', 'Canidae', 'Sea', 'Photography']","[0.949849, 0.8692891, 0.86161083, 0.7390329, 0.73799706]","['fieldwork', 'fortification', 'defensive structure', 'goat herder', 'laborer']","[0.71, 0.71, 0.71, 0.554, 0.557]",coast
Places365_val_00022213,coast,"['Shoreline', 'Water', 'Outdoors', 'Sea', 'Ocean']","[99.98584747314453, 99.98584747314453, 99.98245239257812, 99.98245239257812, 99.98245239257812]","['water', 'mountain', 'lake', 'nature', 'tree']","[0.9813685417175293, 0.9743256568908691, 0.963537335395813, 0.9291379451751709, 0.8629450798034668]","['water', 'seashore', 'sea', 'travel', 'beach']","[0.9951543807983398, 0.991703987121582, 0.9903320074081421, 0.9870269298553467, 0.9734524488449097]","['Water resources', 'Water', 'Waterway', 'Natural landscape', 'River']","[0.96471757, 0.91002715, 0.88929844, 0.8855189, 0.77109593]","['littoral (sands)', 'seashore', 'shore', 'nature', 'lakeside']","[0.693, 0.753, 0.877, 0.877, 0.607]",coast
Places365_val_00031335,coast,"['Person', 'Human', 'Sea', 'Nature', 'Water']","[99.75979614257812, 99.75979614257812, 99.7319564819336, 99.7319564819336, 99.7319564819336]","['outdoor', 'water', 'sky', 'lake', 'person']","[0.9998332262039185, 0.9987159371376038, 0.9889523386955261, 0.9499777555465698, 0.9358892440795898]","['water', 'recreation', 'sport', 'lifestyle', 'leisure']","[0.9925093650817871, 0.9867547750473022, 0.9746747016906738, 0.9740588665008545, 0.9707242250442505]","['Water', 'Wave', 'Shore', 'Coast', 'Recreation']","[0.9512578, 0.83346784, 0.8328877, 0.78787935, 0.772473]","['cliff diving', 'dive', 'swimming', 'water sport', 'sport']","[0.761, 0.769, 0.769, 0.871, 0.871]",coast
Places365_val_00015249,cockpit,"['Cockpit', 'Pump', 'Machine', 'Gas Pump']","[94.26211547851562, 64.96820831298828, 64.96820831298828, 64.96820831298828]","['aviation', 'flight', 'vehicle', 'plane', 'transport']","[0.9513565897941589, 0.9487682580947876, 0.9333361387252808, 0.9070628881454468, 0.8149589896202087]","['cockpit', 'transportation system', 'vehicle', 'airplane', 'travel']","[0.9999008178710938, 0.9995557069778442, 0.9994078874588013, 0.9968632459640503, 0.9935727119445801]","['Cockpit', 'Vehicle', 'Aerospace engineering', 'Business jet', 'Air travel']","[0.9161277, 0.91012794, 0.86676735, 0.85513574, 0.8434989]","['cockpit', 'compartment', 'indoors', 'Link trainer (flight simulation)', 'machine']","[0.872, 0.917, 0.917, 0.616, 0.772]",cockpit
