imageName,groundTruth,amazonLabels,amazonScores,azureLabels,azureScores,clarifaiLabels,clarifaiScores,googleLabels,googleScores,watsonLabels,watsonScores,category,indoor
sun_awifcyylvsyzugji,golf_course,"['Field', 'Outdoors', 'Golf Course', 'Person', 'Human']","[99.85643005371094, 99.62007904052734, 98.12273406982422, 74.77666473388672, 74.77666473388672]","['tree', 'grass', 'outdoor', 'sky', 'house']","[0.9994188547134399, 0.9983658194541931, 0.9968936443328857, 0.9944928884506226, 0.9613280296325684]","['golf', 'tree', 'grass', 'lawn', 'park']","[0.9979752898216248, 0.993463397026062, 0.9879539012908936, 0.9862825870513916, 0.9794018268585205]","['Sport venue', 'Green', 'Grass', 'Property', 'Golf course']","[0.9808616, 0.9068462, 0.9029516, 0.89419883, 0.8939409]","['golf', 'athletic game', 'sport', 'Golf Course', 'plant']","[0.801, 0.801, 0.946, 0.732, 0.797]",golf_course,False
sun_argoqplbisnyupai,golf_course,"['Field', 'Outdoors', 'Golf Course']","[99.84719848632812, 99.66273498535156, 97.29232788085938]","['grass', 'outdoor', 'tree', 'sky', 'water']","[0.9997095465660095, 0.9992386102676392, 0.9970142841339111, 0.9965667724609375, 0.9953711032867432]","['golf', 'fairway', 'putt', 'lake', 'golfer']","[0.9999364018440247, 0.9952994585037231, 0.9927549958229065, 0.9917562007904053, 0.9890530109405518]","['Sport venue', 'Water', 'Green', 'Golf course', 'Water resources']","[0.97842205, 0.95781547, 0.9285578, 0.9168123, 0.90976137]","['hazard', 'sand trap', 'water hazard', 'sport', 'nature']","[0.775, 0.652, 0.5, 0.599, 0.596]",golf_course,False
sun_ajbmbdjagfcauhvr,golf_course,"['Field', 'Outdoors', 'Golf Course', 'Plant', 'Tree']","[99.70718383789062, 99.46255493164062, 88.55191040039062, 81.71151733398438, 78.57014465332031]","['tree', 'grass', 'outdoor', 'park', 'fall']","[0.9999963641166687, 0.9999903440475464, 0.9984083771705627, 0.9447849988937378, 0.9063311815261841]","['golf', 'tree', 'no person', 'fall', 'leaf']","[0.996188759803772, 0.9933522939682007, 0.9910597801208496, 0.9845422506332397, 0.9834870100021362]","['Natural landscape', 'Nature', 'Tree', 'Green', 'Sport venue']","[0.9740803, 0.9682367, 0.96599, 0.96047515, 0.9536427]","['golf', 'athletic game', 'sport', 'amen corner (landscape)', 'Golf Course']","[0.672, 0.672, 0.713, 0.638, 0.5]",golf_course,False
sun_avbadjhklbaonxey,golf_course,"['Field', 'Outdoors', 'Person', 'Human', 'Golf Course']","[99.58732604980469, 99.30005645751953, 97.76527404785156, 97.76527404785156, 97.3684310913086]","['grass', 'outdoor', 'sports equipment', 'golf course', 'golf equipment']","[0.9944124817848206, 0.9811544418334961, 0.8357300758361816, 0.7955799102783203, 0.7933839559555054]","['golf', 'golfer', 'putt', 'golf club', 'fairway']","[0.9999390840530396, 0.9990280866622925, 0.9968348145484924, 0.994036853313446, 0.993686854839325]","['Sport venue', 'Golf', 'Golf course', 'Golf equipment', 'Golfer']","[0.9826473, 0.97516304, 0.97433376, 0.9738391, 0.9569326]","['golf', 'athletic game', 'sport', 'professional golf', 'sand trap']","[0.96, 0.96, 0.96, 0.6, 0.5]",golf_course,False
sun_axpuvthndihfkfwn,golf_course,"['Human', 'Person', 'Grass', 'Plant', 'Outdoors']","[99.46244049072266, 99.46244049072266, 99.21216583251953, 99.21216583251953, 98.09308624267578]","['tree', 'grass', 'outdoor', 'playground', 'field']","[0.9999932050704956, 0.9999482035636902, 0.9986404180526733, 0.9561557769775391, 0.8481431007385254]","['golf', 'grass', 'park', 'tree', 'landscape']","[0.9956670999526978, 0.979833722114563, 0.9738737940788269, 0.972568929195404, 0.9699164628982544]","['Sport venue', 'Lawn', 'Grass', 'Golf course', 'Grassland']","[0.9317847, 0.8396338, 0.82184535, 0.81373054, 0.804534]","['gazebo (roofed structure)', 'building', 'weald', 'nature', 'amen corner (landscape)']","[0.762, 0.762, 0.6, 0.601, 0.5]",golf_course,False
sun_anyvjqugsblyeaot,coast,"['Land', 'Outdoors', 'Nature', 'Water', 'Sea']","[99.9737548828125, 99.9737548828125, 99.9737548828125, 99.90959930419922, 99.90959930419922]","['water', 'outdoor', 'sky', 'beach', 'nature']","[0.9998763799667358, 0.9994641542434692, 0.9978783130645752, 0.9963104724884033, 0.9786627888679504]","['water', 'travel', 'seashore', 'no person', 'sea']","[0.9957525730133057, 0.9851441979408264, 0.9753369688987732, 0.973362922668457, 0.9718908667564392]","['Body of water', 'Coast', 'Headland', 'Sea', 'Coastal and oceanic landforms']","[0.9884004, 0.9799248, 0.9619157, 0.961502, 0.95907253]","['promontory', 'nature', 'seashore', 'shore', 'point']","[0.87, 0.957, 0.539, 0.653, 0.5]",coast,False
sun_antofbxwpjhuszwr,coast,"['Shoreline', 'Water', 'Sea', 'Outdoors', 'Ocean']","[99.87925720214844, 99.87925720214844, 99.76751708984375, 99.76751708984375, 99.76751708984375]","['nature', 'outdoor', 'water', 'sky', 'landscape']","[0.9986218214035034, 0.9972128868103027, 0.9950592517852783, 0.9943283796310425, 0.9485283493995667]","['seashore', 'sea', 'beach', 'landscape', 'panoramic']","[0.9974101781845093, 0.9923261404037476, 0.9908570051193237, 0.9896625280380249, 0.9883614778518677]","['Coast', 'Body of water', 'Natural landscape', 'Headland', 'Shore']","[0.9855518, 0.9829671, 0.9740803, 0.9614259, 0.9603887]","['promontory', 'nature', 'shore', 'littoral (sands)', 'seashore']","[0.811, 0.962, 0.815, 0.532, 0.707]",coast,False
sun_ahzcrhpenzckollr,coast,"['Water', 'Nature', 'Outdoors', 'Land', 'Sea']","[99.8204574584961, 99.43927001953125, 99.33643341064453, 98.71044921875, 98.16252899169922]","['water', 'sky', 'outdoor', 'cloud', 'beach']","[0.999889612197876, 0.9997758269309998, 0.9996090531349182, 0.9706034660339355, 0.9673346281051636]","['water', 'sea', 'landscape', 'seashore', 'island']","[0.9968291521072388, 0.9910104870796204, 0.9878038167953491, 0.9791615009307861, 0.9784091114997864]","['Body of water', 'Highland', 'Loch', 'Water resources', 'Reservoir']","[0.98507386, 0.9699092, 0.94215757, 0.92937356, 0.9170827]","['mull (promontories)', 'nature', 'promontory', 'point', 'natural elevation']","[0.914, 0.962, 0.601, 0.5, 0.801]",coast,False
sun_adeamqputqgbqvcq,coast,"['Promontory', 'Sea', 'Nature', 'Water', 'Ocean']","[99.93391418457031, 99.65776062011719, 99.65776062011719, 99.65776062011719, 99.65776062011719]","['outdoor', 'sky', 'water', 'mountain', 'beach']","[0.9989601373672485, 0.9984912872314453, 0.9965218305587769, 0.9964003562927246, 0.9632631540298462]","['water', 'landscape', 'beach', 'sea', 'seashore']","[0.9928853511810303, 0.9885479807853699, 0.9807325005531311, 0.9751044511795044, 0.965388298034668]","['Body of water', 'Coast', 'Shore', 'Natural landscape', 'Water resources']","[0.9831948, 0.95348686, 0.9120024, 0.8855189, 0.8460319]","['seashore', 'shore', 'nature', 'littoral (sands)', 'promontory']","[0.811, 0.871, 0.905, 0.611, 0.5]",coast,False
sun_adxkdtotkqpacvqq,coast,"['Water', 'Shoreline', 'Outdoors', 'Ocean', 'Nature']","[99.69475555419922, 99.69475555419922, 99.33783721923828, 99.33783721923828, 99.33783721923828]","['outdoor', 'water', 'sky', 'nature', 'beach']","[0.998224139213562, 0.9964667558670044, 0.9928113222122192, 0.96943199634552, 0.9088551998138428]","['beach', 'seashore', 'sea', 'tree', 'nature']","[0.9929673671722412, 0.9914195537567139, 0.9897679090499878, 0.986461877822876, 0.9862586855888367]","['Body of water', 'Coast', 'Shore', 'Beach', 'Vegetation']","[0.97580504, 0.9650551, 0.9404149, 0.927615, 0.924424]","['seashore', 'shore', 'nature', 'oceanfront', 'littoral (sands)']","[0.828, 0.934, 0.959, 0.559, 0.531]",coast,False
sun_aqxvqsitatwokrwe,cockpit,"['Apparel', 'Helmet', 'Clothing', 'Person', 'Human']","[99.72307586669922, 99.72307586669922, 99.72307586669922, 98.60230255126953, 98.60230255126953]","['aircraft', 'flight instruments', 'pilot', 'airplane', 'flight']","[0.9509533643722534, 0.9342496395111084, 0.8758683204650879, 0.8272448778152466, 0.7745437622070312]","['cockpit', 'military', 'aircraft', 'airplane', 'vehicle']","[0.9974266886711121, 0.9971786141395569, 0.9964717626571655, 0.9959666728973389, 0.9935023188591003]","['Cockpit', 'Pilot', 'Flight instruments', 'Helicopter pilot', 'Aerospace engineering']","[0.9672557, 0.94531125, 0.9403912, 0.8842903, 0.86676735]","['person', 'cockpit', 'compartment', 'indoors', 'machine']","[0.797, 0.983, 0.983, 0.983, 0.793]",cockpit,False
sun_aruqhzvuzywetdia,cockpit,"['Cockpit', 'Train', 'Transportation', 'Vehicle']","[94.23381805419922, 72.90718078613281, 72.90718078613281, 72.90718078613281]","['indoor', 'airplane', 'flight', 'cockpit', 'control panel']","[0.8663493394851685, 0.6414330005645752, 0.5208139419555664, 0.51954585313797, 0.058024466037750244]","['cockpit', 'airplane', 'aircraft', 'transportation system', 'vehicle']","[0.9969756603240967, 0.9961596727371216, 0.9937502145767212, 0.9909054040908813, 0.9884774684906006]","['Cockpit', 'Aerospace engineering', 'Photography', 'Vehicle', 'Airliner']","[0.86400723, 0.8159216, 0.62422496, 0.592003, 0.54868823]","['cockpit', 'compartment', 'indoors', 'aircraft', 'coal black color']","[0.996, 0.996, 0.996, 0.801, 0.87]",cockpit,False
sun_afhlobdtmjyfhyav,cockpit,"['Cockpit', 'Train', 'Transportation', 'Vehicle']","[96.81461334228516, 70.48600769042969, 70.48600769042969, 70.48600769042969]","['map', 'cockpit', 'computer', 'military vehicle', 'control panel']","[0.8479406237602234, 0.6199474334716797, 0.6045287847518921, 0.5950238704681396, 0.04773637652397156]","['vehicle', 'transportation system', 'cockpit', 'airplane', 'aircraft']","[0.9988254308700562, 0.9981479644775391, 0.9961221218109131, 0.9953470230102539, 0.9949184060096741]","['Cockpit', 'Vehicle', 'Aerospace engineering', 'Aircraft', 'Air travel']","[0.9002215, 0.8327013, 0.78603154, 0.733636, 0.66957587]","['person', 'cockpit', 'compartment', 'indoors', 'machine']","[0.766, 0.989, 0.989, 0.989, 0.793]",cockpit,False
sun_aegiwpgbgtpblavx,cockpit,['Cockpit'],[96.13330841064453],"['screenshot', 'flight', 'interior', 'cabin']","[0.96958327293396, 0.6259298324584961, 0.6181007623672485, 0.5622109174728394]","['transportation system', 'cockpit', 'airplane', 'vehicle', 'travel']","[0.9988683462142944, 0.9987802505493164, 0.9971699714660645, 0.9940957427024841, 0.9935376644134521]","['Vehicle', 'Aerospace engineering', 'Airline', 'Cockpit', 'Air travel']","[0.89565396, 0.62116957, 0.60712326, 0.6056803, 0.5778693]","['cockpit', 'compartment', 'indoors', 'machine', 'aircraft']","[0.968, 0.968, 0.968, 0.798, 0.801]",cockpit,False
sun_amhuiyjaorrydser,cockpit,"['Cushion', 'Truck', 'Vehicle', 'Transportation', 'Headrest']","[99.68433380126953, 75.8589859008789, 75.8589859008789, 75.8589859008789, 59.802696228027344]","['window', 'vehicle', 'indoor', 'land vehicle']","[0.920646071434021, 0.8949979543685913, 0.8831138610839844, 0.534180760383606]","['transportation system', 'car', 'cockpit', 'travel', 'steering wheel']","[0.9965916872024536, 0.9960760474205017, 0.9805338382720947, 0.9755517244338989, 0.9720571041107178]","['Vehicle', 'Transport', 'Car', 'Commercial vehicle', 'Bus']","[0.8877683, 0.85130966, 0.73965085, 0.65514207, 0.617805]","['upholstery', 'cockpit', 'compartment', 'indoors', 'power shovel']","[0.615, 0.573, 0.652, 0.652, 0.55]",cockpit,False
sun_btxtuvzulbqikoiu,cathedral,"['Tower', 'Steeple', 'Spire', 'Building', 'Architecture']","[99.96292877197266, 99.96292877197266, 99.96292877197266, 99.96292877197266, 99.96292877197266]","['tree', 'outdoor', 'building', 'sky', 'church']","[0.9997949600219727, 0.9970673322677612, 0.993737518787384, 0.9934861660003662, 0.9929830431938171]","['architecture', 'building', 'travel', 'no person', 'old']","[0.9980330467224121, 0.9870822429656982, 0.9866280555725098, 0.9787682294845581, 0.9736179113388062]","['Landmark', 'Building', 'Architecture', 'Medieval architecture', 'Town']","[0.94123477, 0.92553926, 0.91593355, 0.85201675, 0.8518347]","['religious building', 'building', 'college', 'belfry tower', 'tower']","[0.688, 0.801, 0.568, 0.516, 0.528]",cathedral,False
sun_bscaxpqkzfxhvglb,cathedral,"['Spire', 'Architecture', 'Steeple', 'Tower', 'Building']","[99.78447723388672, 99.78447723388672, 99.78447723388672, 99.78447723388672, 99.78447723388672]","['outdoor', 'tree', 'building', 'sky', 'cloud']","[0.9981786012649536, 0.9979187250137329, 0.99128657579422, 0.9321123361587524, 0.8428623080253601]","['architecture', 'no person', 'building', 'tower', 'church']","[0.9960759282112122, 0.9930506944656372, 0.9804888963699341, 0.9790875315666199, 0.9751012325286865]","['Landmark', 'Architecture', 'Steeple', 'Spire', 'Medieval architecture']","[0.95992637, 0.94274336, 0.9374109, 0.9336396, 0.9198278]","['church tower', 'tower', 'religious building', 'building', 'alcazar (fortress']","[0.636, 0.758, 0.603, 0.722, 0.546]",cathedral,False
sun_bsnqsfdlehdmqzcm,cathedral,"['Architecture', 'Building', 'Cathedral', 'Church', 'Spire']","[99.76243591308594, 99.76243591308594, 99.38153839111328, 99.38153839111328, 98.39781951904297]","['building', 'outdoor', 'street', 'cathedral', 'city']","[0.9984405040740967, 0.980207622051239, 0.9072986841201782, 0.8438714742660522, 0.7491943836212158]","['architecture', 'church', 'outdoors', 'tower', 'travel']","[0.9919846653938293, 0.9702025651931763, 0.9700632095336914, 0.9670496582984924, 0.9632740020751953]","['Medieval architecture', 'Landmark', 'Architecture', 'Building', 'Steeple']","[0.952518, 0.9447088, 0.9349071, 0.91291106, 0.8741319]","['religious building', 'building', 'cathedral', 'flying buttress', 'support']","[0.587, 0.73, 0.56, 0.53, 0.53]",cathedral,False
sun_bocgsvdtvddmvlmt,cathedral,"['Architecture', 'Building', 'Housing', 'Monastery', 'Dome']","[99.9505844116211, 99.9505844116211, 99.9505844116211, 99.9505844116211, 99.73341369628906]","['outdoor', 'sky', 'church', 'building', 'cathedral']","[0.9662303924560547, 0.953495979309082, 0.9274640679359436, 0.9095077514648438, 0.6067803502082825]","['architecture', 'church', 'cathedral', 'travel', 'building']","[0.9984443187713623, 0.9973913431167603, 0.9951212406158447, 0.9915341138839722, 0.991176187992096]","['Landmark', 'Dome', 'Classical architecture', 'Building', 'Medieval architecture']","[0.9798302, 0.97479206, 0.9711044, 0.9525967, 0.9478593]","['religious building', 'building', 'basilic (church/roman building)a', 'blue color', 'ultramarine color']","[0.883, 0.955, 0.597, 0.624, 0.512]",cathedral,False
